Flight Data File,,,,,,,,,,,,,,,,
Test ID (TID),42,,,,,,,,,,,,,,,
Vehicle ID (VID),QC16a,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
time,modeNumber,acc1,acc2,acc3,angRate1,angRate2,angRate3,batteryVolts,motorCmds1,motorCmds2,motorCmds3,motorCmds4,pos1,pos2,pos3,isBallFlag
2017::124:12:45:00.40,1,0.062271,-0.48858,0.16526,-0.0010653,0.0010653,0,0,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:00.50,2,-0.58678,1.0131,-9.5944,0,0,-0.0010653,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:00.60,2,-0.64187,0.24429,-10.176,0,0,-0.0021305,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:00.70,2,-0.26345,0.079036,-9.3669,-0.0010653,0,0,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:00.80,2,0,0.12215,-9.2232,0,0.0021305,0.0021305,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:00.90,2,0.01916,0.39039,-10.138,-0.0042611,0.0010653,0.0021305,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:01.00,3,-0.54367,-0.2898,-10.505,-0.0010653,0,0.0010653,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:01.10,3,-0.0030838,0.0048545,0.00036144,0,0,0,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:01.20,3,-0.27303,-0.91653,-0.81287,0.0023204,-0.0009057,0.0018238,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:01.30,3,0.14676,-0.21544,-0.1824,0.0023207,0.0013118,0.0014708,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:01.40,3,-0.11725,-0.17515,0.28642,0.00010641,0.0012447,0.0023984,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:01.50,3,-0.85584,-0.2568,0.032458,-0.0010048,0.00020227,0.0011592,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:01.60,3,-0.61359,0.081411,-0.094059,-0.00089808,0.00027514,0.00093539,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:01.70,3,0.40856,-0.52615,-0.36394,0.00022495,0.00031419,0.00078595,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:01.80,3,-0.097503,0.69082,0.5274,0.0013483,0.0003698,-0.00022951,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:01.90,3,0.41167,1.3939,-0.38574,-0.0028658,-0.0016999,-0.00040416,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:02.00,3,0.73256,0.072269,-0.70352,0.00041729,0.0014861,-0.00050725,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:02.10,3,1.1374,-0.13872,-0.54974,-0.0028285,0.0014184,0.00057302,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:02.20,3,0.63105,-0.52563,0.04759,0.0014999,-0.0017645,0.0005866,4,0,0,0,0,0.62133,0.00227,-0.2127,1
